slotId,deposit,burnRate,Adj_deposit,Adj_burnRate,owner,transactionHash,timestamp,gasUsed,gasPrice,ethSpent
7,1.00E+20,5.00E+12,100,0.5,0x26098C24cA52ae70FF173817E2285A7971c22139,b'9\x04mBL\xe9}+AM\xb9&\x11*\xdf\x83\xac\xa4\xb2\xf8\x14\xeap\xab\xe6\x05vYu\x8b*\x84',1621235600,242821,60000000000,0.01456926
9,7.80E+19,0,78,0,0x6e5d43A620fC9456A1F23BE69933a516E177dDec,"b'\x12\x99\xcc\xfe\xabLu\xcf\n\xfb\xf4F\xf1\x01\xcc\x7f,\xa2\x98\xad\xabBup)\x87\x84\xc9@\xda\xb9<'",1621253335,186549,60000000000,0.01119294
17,1.50E+20,1.00E+13,150,1,0x26098C24cA52ae70FF173817E2285A7971c22139,b'\x87\x15\xc9\x0e\xb3\x89]\xc6\xc7\x0c\xbe\x84i\xa39t\xd4\xac\x1b\x91Xn\xb9\x92\x95\x180|:5\xb7\x00',1621253540,174421,59000001459,0.010290839
1,1.00E+20,1.00E+12,100,0.1,0xED6F4Cd9288FB42F9E119F663B810bE25E857D0B,b'v(q\xac\xd1a\xa07Fu\xe0\x92?\xc9\x95{\xad6d~\x1bn\x08\xc7\x8cR!\x9f\xbd5\x9a\xdc',1621253737,191509,55000000000,0.010532995
50,0,0,0,0,0xbD75540343904343A49E084523596Ed8d9978d7b,b'ht\xc2\xb4<\xbf\xd2\xacc\xe68\x8e{\xc2+\xcc\xcb\xf3\x81u\x12\xcbG\n\xf9DQ\\\xe9\xac\x04\xbf',1621270882,120331,83000000000,0.009987473
9,7.90E+19,100000000,79,0,0x2c39B8C5B9D31299449474A4D0bcd8F9A32751E4,"b""\x08\xbd\x07\xed\x8a\xe2W\x80\xe5?\x1d\xc5\x8d.U26\xf7'\xd7\\EE\x14\xa9\xb7\xe7B\xa9\r\xab\x8a""",1621271904,207267,1.06E+11,0.021970302
38,3.86E+19,0,38.59,0,0x012CAe16d4c2C4EA8D1DAbAA193f0ac5a5F33c47,b'Y\xc0t\xc3\x15\x85\xb8\xadx\xd2\xc8\xd0t\xa7\xfa\x13\xf55\xd4\x90\xe2\x962j\x92\x1e\xb4\x06H\x90\xdf&',1621272536,171561,1.29E+11,0.022131369
49,1.00E+21,1.00E+11,1000,0.01,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,b'\x9b3J\x02\xe3\x7f\x8c\xab\xad\xcd\x10\xbe\x9a\xf8\xec\x89\x85!\xef\xc0B\xe4\x9b\x98\xf9a\xca\x1cC\xc6H\xef',1621273145,191509,1.43E+11,0.027385787
48,1.00E+21,1.00E+11,1000,0.01,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,"b'}\xc3\xd2\xcc\x98X\xe8\xaa\xad\x8b\xbd\x02\x16\xe0\xcb\x85\xc9""\xearO(\xbb\xa3\x17\x80\xdb\xd2!\xadC\x81'",1621273200,174409,1.39E+11,0.024242851
47,1.00E+21,1.00E+11,1000,0.01,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,"b'\x02\x8b\x95\x90z\xc2_\x08F(\xc0\xd1\xcc\x13+,\x98\xbc;GU\xcch\x7ff[\xd7\xdd\xff\xc6\xc9\x97'",1621273440,174409,1.53E+11,0.026684577
2,1.00E+21,1.00E+11,1000,0.01,0x351Da3c9B54621f3905462E865FE3723DCBA8e81,"b""\x01=\xd7\xbf\x9eN\xdf\xb0\xea\x19\x04\x0c\xebYi\x840\xa3\xb9\x82&:'5\xd1\x94\xc0\x1d5\xb0\xb6\x0e""",1621273615,191509,1.64E+11,0.031407476
46,1.00E+21,100000000,1000,0,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,"b""_n\xff\x7f\xablc\xc5o\x14\x00)\xc8\xa7\xc1\xe6\xaa8\xec\x8e\x90R\xe34{\xb3}p''\xd7Z""",1621273653,174397,2.00E+11,0.0348794
40,1.00E+21,10000000,1000,0,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,"b"":O\xf8\x9e`\x86\x0bke\xd1\x8d\xb9v\x88'\x04\xe7\x15\xae\xd6\xe0\x86RF\x13\xc9\\\xff\x84\x91\xd5U""",1621273770,174397,1.43E+11,0.024938771
41,1.00E+21,10000000,1000,0,0x70edb8996c9E4C79c80f3041Cee023a0099d2Dda,b'v\xd7\xef\x14\x8d\xce\x12\x87\xa2z\xd5\x9e\xb8\xbc\x033\xf6\xfa\xcc\xdc\x9c\xc3\x9b\x11\xd5(\x16\xd0HBZ:',1621273829,174397,1.42E+11,0.024781814
